이름,주소,전화번호,번호구분,위도,경도,이미지URL,비고
기린성당,강원특별자치도 인제군 기린면 기린로42번길 9-5,033-463-5104,개별 문의처,37.95525155,128.318672,,
남전약수,강원특별자치도 인제군 남면 남전리 산 145 일원,033-460-2080,지자체 대표번호,38.02737105,128.135426,http://tong.visitkorea.or.kr/cms/resource/18/182118_image2_1.jpg,
내린천 포트홀,강원특별자치도 인제군 기린면 북리,033-460-2080,지자체 대표번호,37.99573414,128.315819,http://tong.visitkorea.or.kr/cms/resource/66/2616266_image2_1.bmp,
내심적계곡,강원특별자치도 인제군 서화면 심적리,033-460-2080,지자체 대표번호,38.24234107,128.1618882,http://tong.visitkorea.or.kr/cms/resource/68/1841968_image2_1.jpg,
대승령과 대승폭포,강원특별자치도 인제군 북면 설악로,033-636-7700,개별 문의처,38.09528967,128.180711,http://tong.visitkorea.or.kr/cms/resource/70/2616970_image2_1.jpg,
대암산 용늪,강원특별자치도 인제군 북면 월학리,033-461-2998,개별 문의처,38.16207192,128.1759479,,
만해마을,강원특별자치도 인제군 북면 만해로 91,033-462-2303,개별 문의처,38.18754641,128.3181283,http://tong.visitkorea.or.kr/cms/resource/54/2601654_image2_1.jpg,
방동계곡,강원특별자치도 인제군 기린면 현리,033-460-2080,지자체 대표번호,37.95295644,128.3145776,http://tong.visitkorea.or.kr/cms/resource/52/1841952_image2_1.jpg,
방동약수,강원특별자치도 인제군 기린면 방동약수로 89-59,033-460-2080,지자체 대표번호,37.92747329,128.4433918,http://tong.visitkorea.or.kr/cms/resource/41/598341_image2_1.jpg,
방태산,강원특별자치도 인제군 기린면 방태산길,033-463-8590,개별 문의처,37.92873642,128.3892301,http://tong.visitkorea.or.kr/cms/resource/20/2720520_image2_1.jpg,
백골병단전적비,강원특별자치도 인제군 북면 용대리 182-16,033-460-2080,지자체 대표번호,38.18965515,128.3629891,,
백담계곡,강원특별자치도 인제군 북면 백담로 150,033-460-2080,지자체 대표번호,38.19198922,128.3573833,http://tong.visitkorea.or.kr/cms/resource/07/769207_image2_1.jpg,
백담마을,강원특별자치도 인제군 북면 만해로 410-17,033-462-4608,개별 문의처,38.19265,128.3245519,http://tong.visitkorea.or.kr/cms/resource/00/2631000_image2_1.bmp,
백담사,강원특별자치도 인제군 백담로 746 백담사,033-462-6969,개별 문의처,38.16430447,128.3741193,http://tong.visitkorea.or.kr/cms/resource/44/2675244_image2_1.jpg,
백운동계곡(설악산),강원특별자치도 인제군 북면 백담로,033-462-2554,개별 문의처,38.1789612,128.3702157,,추가연락가능번호 : 033-480-2230(양구군청)
봉정암(인제),강원특별자치도 인제군 북면 백담로 1700,033-632-5933,개별 문의처,38.12825547,128.4477668,http://tong.visitkorea.or.kr/cms/resource/51/1966651_image2_1.jpg,
비밀의정원,강원특별자치도 인제군 남면 갑둔리 산 122-3,033-460-2080,지자체 대표번호,37.92102494,128.1325291,http://tong.visitkorea.or.kr/cms/resource/87/2801787_image2_1.jpg,
설악산국립공원(내설악),강원특별자치도 인제군 북면,033-801-0900,개별 문의처,38.12467046,128.2041725,http://tong.visitkorea.or.kr/cms/resource/43/780843_image2_1.jpg,
설피마을,강원특별자치도 인제군 기린면 설피밭길 434,033-460-2170,개별 문의처,38.01868402,128.4746611,http://tong.visitkorea.or.kr/cms/resource/89/209289_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
소승폭포,강원특별자치도 인제군 북면 설악로,033-801-0900,개별 문의처,38.09528967,128.180711,http://tong.visitkorea.or.kr/cms/resource/70/2616970_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
십이선녀탕(탕수동계곡),강원특별자치도 인제군 북면 십이선녀탕길,033-801-0900,개별 문의처,38.18313757,128.3010251,http://tong.visitkorea.or.kr/cms/resource/12/1583412_image2_1.jpg,
아침가리계곡,강원특별자치도 인제군 기린면 추대길 58,033-461-2122,개별 문의처,37.96552849,128.3988844,http://tong.visitkorea.or.kr/cms/resource/46/2393446_image2_1.jpg,
연가리계곡,강원특별자치도 인제군 기린면,033-460-2080,지자체 대표번호,37.95560384,128.3191895,,
옥녀탕,강원특별자치도 인제군 북면 설악로,033-463-5292,개별 문의처,38.09528967,128.180711,http://tong.visitkorea.or.kr/cms/resource/70/2616970_image2_1.jpg,
용대 매바위 인공폭포,강원특별자치도 인제군 북면 용대리,033-462-4805,개별 문의처,38.18965515,128.3629891,,
용소폭포,강원특별자치도 인제군 상남면 상남리 산357-1,033-460-2080,지자체 대표번호,37.88251584,128.2474162,,
인제 냇강마을,강원특별자치도 인제군 남면 냇강마을안길 248,070-8832-5959,개별 문의처,38.13451405,128.1935235,http://tong.visitkorea.or.kr/cms/resource/68/604768_image2_1.jpg,
인제 미산리 개인약수,강원특별자치도 인제군 상남면 미산리 산1 일원,033-460-2082,개별 문의처,37.86670348,128.3852853,,
인제 하늘여울소치마을,강원특별자치도 인제군 남면 부평정자로 744,033-463-8680,개별 문의처,37.95956541,128.1303659,,
인제 하추마을,강원특별자치도 인제군 인제읍 하추로 187,033-461-4481,개별 문의처,38.01962892,128.2817802,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,"추가연락가능번호 : 031-940-5282, 031-940-5283"
인제 황태마을,강원특별자치도 인제군 북면 진부령로 307,033-462-4805,개별 문의처,38.23552988,128.3610723,http://tong.visitkorea.or.kr/cms/resource/94/209294_image2_1.jpg,
인제한계사지,강원특별자치도 인제군 북면 한계리,033-460-2080,지자체 대표번호,38.12877225,128.325544,,
인제향교,강원특별자치도 인제군 인제읍 인제로231번길 14,033-460-2080,지자체 대표번호,38.07181932,128.1746219,http://tong.visitkorea.or.kr/cms/resource/04/1694304_image2_1.jpg,
장수대,강원특별자치도 인제군 북면 설악로 4193,033-463-3476,개별 문의처,38.11941797,128.3418968,http://tong.visitkorea.or.kr/cms/resource/08/1583408_image2_1.jpg,
진동 계곡마을,강원특별자치도 인제군 기린면 조침령로 1071-1,033-463-8347,개별 문의처,37.96463167,128.4140721,,
진동계곡,강원특별자치도 인제군 기린면 진동리,033-460-2080,지자체 대표번호,37.99721079,128.4421722,,
청정조각공원,강원특별자치도 인제군 남면 설악로 10,033-460-2080,지자체 대표번호,37.9164726,128.0592593,,
추대계곡,강원특별자치도 인제군 기린면 방동리,033-460-2080,지자체 대표번호,37.92512794,128.4075905,http://tong.visitkorea.or.kr/cms/resource/59/1841959_image2_1.jpg,
필례GE온천,강원특별자치도 인제군 인제읍 필례약수길 72,033-463-5000,개별 문의처,38.07649094,128.3697266,http://tong.visitkorea.or.kr/cms/resource/59/2776959_image2_1.jpeg,
하추리계곡,강원특별자치도 인제군 인제읍 하추리,033-460-2080,지자체 대표번호,38.03150383,128.2883495,http://tong.visitkorea.or.kr/cms/resource/56/2607556_image2_1.jpg,
하추리산촌마을,강원특별자치도 인제군 인제읍 하추로 187,033-461-4481,개별 문의처,38.01962892,128.2817802,http://tong.visitkorea.or.kr/cms/resource/24/2633024_image2_1.bmp,
하추자연휴양림,강원특별자치도 인제군 인제읍 하추로 686,033-461-0056,개별 문의처,38.03469368,128.3193065,http://tong.visitkorea.or.kr/cms/resource/82/2800782_image2_1.JPG,
한국DMZ평화생명동산,강원특별자치도 인제군 서화면 금강로 1630,033-463-5155,개별 문의처,38.24059464,128.2082276,http://tong.visitkorea.or.kr/cms/resource/40/2617240_image2_1.jpg,
합강정,강원특별자치도 인제군 인제읍 설악로 2254,033-460-2080,지자체 대표번호,38.07760678,128.1861031,http://tong.visitkorea.or.kr/cms/resource/39/2870439_image2_1.jpg,
고 석,강원특별자치도 철원군 한탄강길 208,033-450-5255,지자체 대표번호,38.20344472,127.2700363,,
경기미래교육 파주캠퍼스,경기도 파주시 탄현면 얼음실로 40,031-956-2000,개별 문의처,37.78444957,126.7026304,,
고석정 꽃밭,강원특별자치도 철원군 태봉로 1769,033-450-5255,지자체 대표번호,38.18822732,127.2955062,http://tong.visitkorea.or.kr/cms/resource/89/2749189_image2_1.JPG,
고석정국민관광지,강원특별자치도 철원군 동송읍 태봉로 1825,033-450-5558,개별 문의처,38.18542141,127.2874037,http://tong.visitkorea.or.kr/cms/resource/99/2567099_image2_1.jpg,
고석정코스모스십리길,강원특별자치도 철원군 동송읍 장흥리 1-3,033-450-5255,지자체 대표번호,38.20067028,127.2710318,http://tong.visitkorea.or.kr/cms/resource/34/2776934_image2_1.jpg,
구 철원제일교회,강원특별자치도 철원군 철원읍 금강산로 319,033-450-5255,지자체 대표번호,38.2503407,127.2034279,http://tong.visitkorea.or.kr/cms/resource/79/2034679_image2_1.jpg,
구은사,강원특별자치도 철원군 근남면 호국로 7003-23,033-450-5520,지자체 대표번호,38.23172767,127.3515191,,
국립 복주산자연휴양림,강원특별자치도 철원군 근남면 하오재로 818,033-458-9426,개별 문의처,38.14376024,127.4732551,http://tong.visitkorea.or.kr/cms/resource/60/582660_image2_1.jpg,
군탄공원과 전역비,강원특별자치도 철원군 갈말읍 호국로 4914-27,033-450-5255,지자체 대표번호,38.23172767,127.3515191,http://tong.visitkorea.or.kr/cms/resource/06/2567106_image2_1.jpg,
금강산전기철도교량,강원특별자치도 철원군 철원읍 평화로 3591,033-450-5255,지자체 대표번호,38.25745254,127.16629,http://tong.visitkorea.or.kr/cms/resource/40/2385040_image2_1.jpg,
금연저수지,강원특별자치도 철원군 동송읍 오지리,033-450-5151,지자체 대표번호,38.17751131,127.231695,http://tong.visitkorea.or.kr/cms/resource/27/2567127_image2_1.jpg,
김응하장군 묘비,강원특별자치도 철원군 철원읍 화지리 산 1-1,033-450-5255,지자체 대표번호,38.22454264,127.2066475,,
김화군민 망향탑,강원특별자치도 철원군 근남면 사곡리,033-450-5255,지자체 대표번호,38.25627414,127.4748752,http://tong.visitkorea.or.kr/cms/resource/36/2567136_image2_1.jpg,
담터계곡,강원특별자치도 철원군 동송읍,033-450-5255,지자체 대표번호,38.20721652,127.2081914,http://tong.visitkorea.or.kr/cms/resource/28/1135528_image2_1.jpg,
대교천 현무암 협곡,강원특별자치도 철원군 동송읍 장흥리,033-450-5255,지자체 대표번호,38.20067028,127.2710318,http://tong.visitkorea.or.kr/cms/resource/59/2616459_image2_1.bmp,
도피안사(철원),강원특별자치도 철원군 동송읍 도피동길 23,033-455-2471,개별 문의처,38.24034096,127.2183416,,추가연락가능번호 : 033-480-2230(양구군청)
동송저수지,강원특별자치도 철원군 동송읍 강산리,033-450-5559,지자체 대표번호,38.30846633,127.2617782,http://tong.visitkorea.or.kr/cms/resource/55/2567155_image2_1.jpg,
두루미평화마을,강원특별자치도 철원군 철원읍 묘장로 301,033-455-2300,개별 문의처,38.26482352,127.1691859,http://tong.visitkorea.or.kr/cms/resource/63/2567163_image2_1.jpg,
두루웰 자연휴양림,강원특별자치도 철원군 갈말읍 지경1길 69,033-450-5198,개별 문의처,38.22798722,127.3532428,,
매월대폭포,강원특별자치도 철원군 근남면 잠곡리 222-5,033-450-5255,지자체 대표번호,38.16367858,127.4745021,http://tong.visitkorea.or.kr/cms/resource/82/2567182_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
미수복지구 망배단,강원특별자치도 철원군 철원읍 외촌리 331,033-450-5255,지자체 대표번호,38.2808642,127.2022332,http://tong.visitkorea.or.kr/cms/resource/99/2567199_image2_1.jpg,
바위그늘유적,강원특별자치도 철원군 갈말읍 군탄리,033-450-5255,지자체 대표번호,38.15518268,127.3018056,http://tong.visitkorea.or.kr/cms/resource/06/2567206_image2_1.jpg,
토교저수지(철새도래지),강원특별자치도 철원군 동송읍 양지길 117,033-450-5255,지자체 대표번호,38.27100125,127.2893498,http://tong.visitkorea.or.kr/cms/resource/86/2567786_image2_1.jpg,
삼부연폭포,강원특별자치도 철원군 갈말읍 신철원리,033-450-5255,지자체 대표번호,38.12376455,127.3419112,http://tong.visitkorea.or.kr/cms/resource/38/1750438_image2_1.jpg,
삽슬봉(아이스크림 고지),강원특별자치도 철원군 동송읍 양지리 산 31,033-450-5255,지자체 대표번호,38.26556942,127.2610121,http://tong.visitkorea.or.kr/cms/resource/25/2567225_image2_1.jpg,
소이산,강원특별자치도 철원군 철원읍 관전리,033-450-5255,지자체 대표번호,38.24978157,127.2021986,,
소이산 생태숲 녹색길,강원특별자치도 철원군 철원읍 금강산로 265,033-450-5255,지자체 대표번호,38.25520094,127.202001,http://tong.visitkorea.or.kr/cms/resource/06/2034706_image2_1.jpg,
송대소주상절리,강원특별자치도 철원군 동송읍 장흥리,033-450-5255,지자체 대표번호,38.20067028,127.2710318,http://tong.visitkorea.or.kr/cms/resource/59/2616459_image2_1.bmp,
순담계곡,강원특별자치도 철원군 갈말읍 순담길 143-3,033-452-5353,개별 문의처,38.17746176,127.2967934,http://tong.visitkorea.or.kr/cms/resource/22/1136222_image2_1.jpg,
쉬리공원,강원특별자치도 철원군 김화읍 청양리,033-450-5255,지자체 대표번호,38.23522512,127.3856252,http://tong.visitkorea.or.kr/cms/resource/78/2915978_image2_1.JPG,
쉬리마을,강원특별자치도 철원군 김화읍 김화로 633-17,033-458-3688,개별 문의처,38.2523453,127.3902053,http://tong.visitkorea.or.kr/cms/resource/62/2609762_image2_1.jpg,
승리전망대,강원특별자치도 철원군 근동면 광삼리,033-450-5255,지자체 대표번호,38.30098819,127.5187411,http://tong.visitkorea.or.kr/cms/resource/78/1136378_image2_1.jpg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
승일교,강원특별자치도 철원군 갈말읍 내대리,033-450-5255,지자체 대표번호,38.20111507,127.3000315,http://tong.visitkorea.or.kr/cms/resource/61/2777861_image2_1.jpg,
심원사(철원),강원특별자치도 철원군 동송읍 상노1길 58,033-455-3468,개별 문의처,38.16288655,127.2494931,http://tong.visitkorea.or.kr/cms/resource/88/1137188_image2_1.jpg,
용양늪,강원특별자치도 철원군 김화읍 생창길 479,033-450-5255,지자체 대표번호,38.28101435,127.4512398,http://tong.visitkorea.or.kr/cms/resource/36/2567236_image2_1.jpg,
용화저수지,강원특별자치도 철원군 갈말읍 신철원리,033-450-5114,지자체 대표번호,38.12376455,127.3419112,http://tong.visitkorea.or.kr/cms/resource/38/1750438_image2_1.jpg,
월정리역,강원특별자치도 철원군 철원읍 두루미로 1882,033-450-5255,지자체 대표번호,38.30938181,127.2302,http://tong.visitkorea.or.kr/cms/resource/36/2389036_image2_1.JPG,
잠곡저수지,강원특별자치도 철원군 근남면 잠곡리,031-853-3636,지자체 대표번호,38.16367858,127.4745021,http://tong.visitkorea.or.kr/cms/resource/73/2567273_image2_1.jpg,
제2땅굴(철원),강원특별자치도 철원군 동송읍 양지리,033-450-5255,지자체 대표번호,38.26325143,127.284057,,
직탕폭포,강원특별자치도 철원군 직탕길 86 폭포가든,033-450-5255,지자체 대표번호,38.21032489,127.2654396,http://tong.visitkorea.or.kr/cms/resource/70/1137370_image2_1.jpg,
철새마을,강원특별자치도 철원군 동송읍 양지2길 44,031-683-1888,개별 문의처,38.26982691,127.2812487,http://tong.visitkorea.or.kr/cms/resource/87/2710387_image2_1.jpg,
철원 노동당사,강원특별자치도 철원군 철원읍 금강산로 265,033-450-5255,지자체 대표번호,38.25520094,127.202001,http://tong.visitkorea.or.kr/cms/resource/06/2034706_image2_1.jpg,
철원 농산물검사소,강원특별자치도 철원군 철원읍 외촌리 620-1,033-450-5151,개별 문의처,38.27630302,127.2004984,,
철원 두루미자는 버들골마을,강원특별자치도 철원군 동송읍 금강산로 1556,,개별 문의처,38.28317546,127.3209332,http://tong.visitkorea.or.kr/cms/resource/63/2567763_image2_1.jpg,
철원 오대미마을,강원특별자치도 철원군 철원읍 묘장로 301,033-455-2300,개별 문의처,38.26482352,127.1691859,http://tong.visitkorea.or.kr/cms/resource/63/2567163_image2_1.jpg,
철원 용암대지,강원특별자치도 철원군 철원읍 사요리,033-450-5255,지자체 대표번호,38.26222033,127.1918947,http://tong.visitkorea.or.kr/cms/resource/13/2615213_image2_1.bmp,
철원 철새도래지 (철원평야),강원특별자치도 철원군 철원읍,033-450-5255,지자체 대표번호,38.21599475,127.2142501,,
철원 평화전망대,강원특별자치도 철원군 동송읍 양지리,033-450-5255,지자체 대표번호,38.26325143,127.284057,,
철원 한탄강 은하수교,강원특별자치도 철원군 동송읍 장흥리 725-12,033-450-5255,지자체 대표번호,38.20067028,127.2710318,http://tong.visitkorea.or.kr/cms/resource/76/2679576_image2_1.bmp,
철원관광정보센터,강원특별자치도 철원군 동송읍 태봉로 1825,033-450-5558,개별 문의처,38.18542141,127.2874037,http://tong.visitkorea.or.kr/cms/resource/99/2567099_image2_1.jpg,
철원승일공원,강원특별자치도 철원군 갈말읍 내대리,033-450-5255,지자체 대표번호,38.20111507,127.3000315,http://tong.visitkorea.or.kr/cms/resource/61/2777861_image2_1.jpg,
철원역사(舍),강원특별자치도 철원군 철원읍 외촌리,033-450-5255,지자체 대표번호,38.27630302,127.2004984,http://tong.visitkorea.or.kr/cms/resource/77/2567777_image2_1.jpg,
철원지석묘군,강원특별자치도 철원군 갈말읍 토성길 87,033-450-5255,지자체 대표번호,38.24410306,127.3421394,,
철원충렬사지,강원특별자치도 철원군 김화읍 생창길 603,033-450-5255,지자체 대표번호,38.29024809,127.4498333,http://tong.visitkorea.or.kr/cms/resource/47/2720647_image2_1.jpg,
철원평화마을 유곡리캠핑장,강원특별자치도 철원군 근북면 유곡로 545,033-455-3904,개별 문의처,38.3010542,127.3989073,,
철원향교,강원특별자치도 철원군 철원읍 금학로 591,033-450-5365,지자체 대표번호,38.2394405,127.2135063,http://tong.visitkorea.or.kr/cms/resource/33/2734933_image2_1.jpg,
학저수지,강원특별자치도 철원군 동송읍 학마을길 68,033-450-5365,지자체 대표번호,38.23002495,127.2222235,http://tong.visitkorea.or.kr/cms/resource/83/2567283_image2_1.jpg,
DMZ 생태평화공원,강원특별자치도 철원군 김화읍 생창길 481-1,033-458-3633,개별 문의처,38.27056883,127.4484182,http://tong.visitkorea.or.kr/cms/resource/14/2353614_image2_1.jpg,
가월리 · 주월리 구석기 유적,경기도 파주시 적성면 달빛길 345,031-940-4351,지자체 대표번호,37.98415112,126.9042371,http://tong.visitkorea.or.kr/cms/resource/67/2567367_image2_1.jpg,
감악산 출렁다리,경기도 파주시 설마천로 238,031-940-4612,개별 문의처,37.93841476,126.9473157,http://tong.visitkorea.or.kr/cms/resource/79/2567379_image2_1.jpg,
감악산(파주),경기도 파주시 적성면 감골길 48,031-940-8598,지자체 대표번호,37.91216648,126.9521886,,
교하동 고인돌 산림욕장,경기도 파주시 교하로1290번길 91,031-940-8598,지자체 대표번호,37.74637229,126.7399352,http://tong.visitkorea.or.kr/cms/resource/95/2567395_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
교하중앙공원,경기도 파주시 숲속노을로 256,031-940-8598,지자체 대표번호,37.72332017,126.712302,http://tong.visitkorea.or.kr/cms/resource/07/2765007_image2_1.JPG,
교하향교,경기도 파주시 쇠재로 91,031-940-4351,지자체 대표번호,37.74964971,126.7769365,http://tong.visitkorea.or.kr/cms/resource/40/1591140_image2_1.jpg,
네이처스파,경기도 파주시 교하로 677-20,031-944-2666,개별 문의처,37.71250491,126.7006422,http://tong.visitkorea.or.kr/cms/resource/42/2757542_image2_1.jpg,
대성동 자유의 마을,경기도 파주시 군내면 대성동길 150,031-940-8241,개별 문의처,37.94386756,126.6804818,,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
덕진산성,경기도 파주시 군내면 정자리 13,031-940-4351,지자체 대표번호,37.91439304,126.7711197,http://tong.visitkorea.or.kr/cms/resource/13/2567413_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
도라산 평화공원,경기도 파주시 장단면 제3땅굴로 310,031-953-4854,개별 문의처,37.90890563,126.7048139,http://tong.visitkorea.or.kr/cms/resource/27/2567427_image2_1.jpg,
도라산역,경기도 파주시 희망로 307 도라산역,031-953-3334,개별 문의처,37.89885184,126.7096295,http://tong.visitkorea.or.kr/cms/resource/97/935097_image2_1.jpg,
도라전망대,경기도 파주시 장단면 제3땅굴로 310,031-954-0303,개별 문의처,37.90890563,126.7048139,http://tong.visitkorea.or.kr/cms/resource/27/2567427_image2_1.jpg,
마장리계곡,경기도 파주시 광탄면 심궁로246번길 13,031-940-8598,지자체 대표번호,37.77803587,126.8772178,http://tong.visitkorea.or.kr/cms/resource/48/2765048_image2_1.JPG,
마장호수,경기도 파주시 광탄면 기산로 365,031-940-8549,개별 문의처,37.77467216,126.932808,http://tong.visitkorea.or.kr/cms/resource/95/2706495_image2_1.JPG,
마장호수 출렁다리,경기도 파주시 광탄면 기산로 313,031-950-1901,개별 문의처,37.77305388,126.9278325,,
모산목장,경기도 파주시 탄현면 검산로519번길 6-36,031-942-6480,개별 문의처,37.80279009,126.7270831,http://tong.visitkorea.or.kr/cms/resource/24/2480324_image2_1.jpg,
박달산(파주),경기도 파주시 광탄면 장지산로316번길 47-33,031-940-8598,지자체 대표번호,37.75991729,126.8750615,http://tong.visitkorea.or.kr/cms/resource/78/1860078_image2_1.jpg,
반구정과 황희선생유적지,경기도 파주시 문산읍 반구정로85번길 3,031-954-2170,개별 문의처,37.8678533,126.7527116,,
발랑저수지,경기도 파주시 광탄면 발랑리,031-950-3260,지자체 대표번호,37.80632603,126.8952023,http://tong.visitkorea.or.kr/cms/resource/42/738842_image2_1.jpg,
벽초지수목원,경기도 파주시 광탄면 부흥로 242,031-957-2004,개별 문의처,37.80142636,126.8740554,http://tong.visitkorea.or.kr/cms/resource/00/2713100_image2_1.jpg,
보광사(파주),경기도 파주시 광탄면 보광로474번길 87,,개별 문의처,37.75557471,126.9205648,http://tong.visitkorea.or.kr/cms/resource/86/1890586_image2_1.jpg,"추가연락가능번호 : 031-940-5282, 031-940-5283"
보광사계곡,경기도 파주시 광탄면 영장리 산50-17,031-940-8598,지자체 대표번호,37.75231256,126.9224351,http://tong.visitkorea.or.kr/cms/resource/95/2765095_image2_1.JPG,
북카페 블루박스,경기도 파주시 문발로 240-21,031-955-7440,개별 문의처,37.71553305,126.6880175,,
블루메 미술관,경기도 파주시 탄현면 헤이리마을길 59-30,031-944-6324,개별 문의처,37.78809894,126.69811,http://tong.visitkorea.or.kr/cms/resource/60/2567460_image2_1.jpg,
산머루농원,경기도 파주시 적성면 윗배우니길 441-25,031-958-4558,개별 문의처,37.96616621,126.9539392,http://tong.visitkorea.or.kr/cms/resource/98/1983098_image2_1.jpg,
성혼선생묘,경기도 파주시 파주읍 향양리,031-940-4351,지자체 대표번호,37.8516015,126.8209869,http://tong.visitkorea.or.kr/cms/resource/11/188811_image2_1.jpg,
소령원,경기도 파주시 광탄면 소령원길 41-65,031-941-4208,개별 문의처,37.7754708,126.9043018,http://tong.visitkorea.or.kr/cms/resource/82/2567482_image2_1.jpg,
소울원,경기도 파주시 탄현면 검산로 424-12,031-945-4261,개별 문의처,37.79712135,126.7410508,http://tong.visitkorea.or.kr/cms/resource/06/2006006_image2_1.jpg,
쇠꼴마을,경기도 파주시 법원읍 술이홀로1333번길,031-959-0123,개별 문의처,37.8837162,126.8740002,http://tong.visitkorea.or.kr/cms/resource/60/1591160_image2_1.jpg,
수길원,경기도 파주시 광탄면 소령원길 41-38,031-940-4351,지자체 대표번호,37.7754708,126.9043018,http://tong.visitkorea.or.kr/cms/resource/93/2567493_image2_1.jpg,
수우원,경기도 파주시 적성면 양연로845번길 47,031-940-4351,지자체 대표번호,37.9790143,127.0086227,,
스토리 미니어처 뮤지엄,경기도 파주시 탄현면 헤이리마을길 93-75,0507-1332-0136,개별 문의처,37.78809894,126.69811,http://tong.visitkorea.or.kr/cms/resource/01/2567501_image2_1.jpg,
심학산 산림공원,경기도 파주시 동패동 산284-1,031-940-8598,지자체 대표번호,37.70453546,126.7064111,http://tong.visitkorea.or.kr/cms/resource/10/1913910_image2_1.jpg,
영토문화관독도,경기도 파주시 탄현면 헤이리마을길 59-128,031-946-5822,개별 문의처,37.78809894,126.69811,http://tong.visitkorea.or.kr/cms/resource/18/2567518_image2_1.jpg,
오두산 통일전망대,경기도 파주시 탄현면 필승로 369,031-956-8300,개별 문의처,37.77306926,126.67709,http://tong.visitkorea.or.kr/cms/resource/70/2445770_image2_1.JPG,
용상사(파주),경기도 파주시 월롱면 용상골길 403,031-945-4489,개별 문의처,37.79822354,126.7662785,,
용암사(파주),경기도 파주시 광탄면 혜음로 742-28,031-942-0265,개별 문의처,37.77286799,126.8504327,,
용주서원,경기도 파주시 월롱면 용주서원길 46,031-940-4351,지자체 대표번호,37.79937435,126.7770278,http://tong.visitkorea.or.kr/cms/resource/90/1591190_image2_1.jpg,
우농타조농장,경기도 파주시 교하로 595-41,031-942-6300,개별 문의처,37.71250491,126.7006422,http://tong.visitkorea.or.kr/cms/resource/11/2482111_image2_1.jpg,
운계폭포,경기도 파주시 적성면 감골길 48,031-940-4612,개별 문의처,37.91216648,126.9521886,,
운정건강공원(가온),경기도 파주시 와석순환로172번길 35,031-940-8598,지자체 대표번호,37.71548133,126.7419858,http://tong.visitkorea.or.kr/cms/resource/52/2782352_image2_1.jpg,
운정체육공원,경기도 파주시 가람로150번길 41-33,031-940-8598,지자체 대표번호,37.73674912,126.7671984,http://tong.visitkorea.or.kr/cms/resource/81/2764481_image2_1.JPG,
운정호수공원,경기도 파주시 경의로 1151,031-940-8598,지자체 대표번호,37.720108,126.7601224,http://tong.visitkorea.or.kr/cms/resource/99/2764499_image2_1.JPG,
율곡수목원,경기도 파주시 파평면 장승배기로 392,031-940-5263,개별 문의처,37.89831144,126.8228627,,
임진강 독개다리,경기도 파주시 문산읍 마정리 1400-5,070-4405-3323,개별 문의처,37.8942339,126.7513055,http://tong.visitkorea.or.kr/cms/resource/46/2717246_image2_1.jpg,
임진강 한우마을,경기도 파주시 적성면 솥뒤로 32,031-940-8514,개별 문의처,37.95671746,126.9167127,http://tong.visitkorea.or.kr/cms/resource/47/2482647_image2_1.jpg,
임진강 황포돛배,경기도 파주시 적성면 율곡로 1857,031-958-2557,개별 문의처,37.96501554,126.8896866,http://tong.visitkorea.or.kr/cms/resource/21/2991121_image2_1.jpg,
자유의 다리(파주),경기도 파주시 문산읍 임진각로 148-53,031-953-4744,개별 문의처,37.88866503,126.7492897,http://tong.visitkorea.or.kr/cms/resource/55/2567555_image2_1.jpg,
장산전망대,경기도 파주시 문산읍 장산리 산21-3,031-940-8598,지자체 대표번호,37.89441351,126.7921738,http://tong.visitkorea.or.kr/cms/resource/56/2782356_image2_1.jpg,
적성향교,경기도 파주시 적성면 감악산로 1311-20,031-940-4351,지자체 대표번호,37.9505276,126.9317283,,
제3땅굴,경기도 파주시 군내면 제3땅굴로 210-358,031-954-0303,개별 문의처,37.90591611,126.7173605,http://tong.visitkorea.or.kr/cms/resource/15/2706515_image2_1.jpg,
쥬라리움 파주점,경기도 파주시 탄현면 새오리로 69,070-8860-7542,개별 문의처,37.79040143,126.6850663,http://tong.visitkorea.or.kr/cms/resource/67/2782967_image2_1.jpg,추가연락가능번호 : 033-480-2230(양구군청)
청도훼미리랜드,경기도 파주시 문산읍 문산역로 107,031-953-6600,개별 문의처,37.85577715,126.7867052,http://tong.visitkorea.or.kr/cms/resource/40/757940_image2_1.jpg,
캠프 그리브스,경기도 파주시 군내면 적십자로 137,031-953-6970,개별 문의처,37.8984299,126.731633,http://tong.visitkorea.or.kr/cms/resource/85/2375485_image2_1.jpg,
타임앤블레이드 박물관,경기도 파주시 탄현면 헤이리마을길 41,031-949-5675,개별 문의처,37.78734999,126.6978703,http://tong.visitkorea.or.kr/cms/resource/77/2567577_image2_1.jpg,
